Doulist, Page, NO., ID, Score, Rating, Votes, Title 
41855072, 29, 717, 2142453, 25.4, 8.9, 53, 信仰与政治哲学 
41855072, 29, 718, 6429701, 31.2, 9.4, 92, 我们合理的信仰 
41855072, 29, 719, 1003841, 22.8, 8.6, 42, 信仰与重负 
41855072, 29, 720, 1813918, 32.1, 8.6, 194, 智慧和信仰 
41855072, 29, 721, 2368198, 30.5, 8.5, 161, 一生必读的关于信仰与人生的30部经典 
41855072, 29, 722, 1511511, 29.8, 9.1, 91, 学佛者的基本信念 
41855072, 29, 723, 1388317, 23.1, 9.3, 30, 個人與群體事件的本質（賽斯書） 
41855072, 29, 724, 1418387, 23.8, 9.3, 33, 心靈的本質（賽斯書） 
41855072, 36, 876, 1734121, 22.5, 8.6, 40, 现代战略的缔造者 
41855072, 36, 877, 25714687, 27.0, 9.2, 56, 文化战略 
41855072, 36, 878, 20513214, 28.8, 8.4, 131, 上接战略下接绩效 
41855072, 36, 879, 1967814, 24.8, 8.9, 48, 企业战略博弈 
41855072, 36, 880, 1546664, 25.9, 8.7, 65, 全球化的人文审思与文化战略 
41855072, 36, 881, 1802773, 25.4, 8.6, 64, 战略历程 
41855072, 36, 882, 1247901, 26.9, 8.5, 89, 中国历代军事战略（上下） 
41855072, 36, 883, 1027808, 27.6, 8.6, 93, 战略论 
41855072, 36, 884, 1396702, 29.0, 8.4, 137, 战略地图 
41855072, 36, 885, 1093507, 28.1, 8.4, 117, 战略历程 
41855072, 36, 886, 1435909, 40.2, 8.6, 729, 竞争战略 
41855072, 36, 887, 6518053, 35.2, 9.0, 224, 脆弱的崛起 
41855072, 36, 888, 1659228, 25.2, 8.8, 55, 战略与结构 
41855072, 36, 889, 3655164, 23.5, 9.0, 37, 战略 
41855072, 36, 890, 2252637, 33.5, 8.0, 443, 诱惑的艺术 
41855072, 36, 891, 10806950, -5.2, 0.0, 8, 禁书 
41855072, 36, 892, 1143334, 26.6, 8.2, 107, 傅山的交往和应酬 
41855072, 36, 893, 25925226, 25.9, 8.5, 75, 强势 
41855072, 36, 894, 6423889, 23.2, 8.7, 42, 组织文化与领导力 
41855072, 36, 895, 25780509, 22.6, 8.8, 36, 将培训转化为商业结果 
41855072, 36, 896, 6718487, 43.7, 8.4, 1646, 商业模式新生代 
41855072, 36, 897, 10453927, 30.9, 9.0, 116, 吴晓波中国企业史三部曲完整典藏版 
41855072, 36, 898, 24851460, 50.5, 8.7, 3447, 历代经济变革得失 
41855072, 36, 899, 1876136, 32.1, 9.2, 120, 变革社会中的政治秩序 
41855072, 36, 900, 5450668, 27.8, 8.7, 88, 在传统与变革之间 
308927, 7, 151, 2033641, 34.3, 8.6, 275, 德伯家的苔丝 
308927, 7, 152, 1075802, 30.0, 8.0, 233, 天外有天 
308927, 7, 153, 1464989, 57.8, 9.1, 6370, 围城 
308927, 7, 154, 1464990, 40.0, 8.6, 707, 茶花女 
308927, 7, 155, 1071319, 21.4, 8.2, 43, 遥远的目光 
308927, 7, 156, 1069058, 19.7, 8.4, 28, 有心无题 
308927, 7, 157, 1322419, 16.5, 7.4, 29, 关于爱的思考 
308927, 7, 158, 1101251, 33.2, 7.6, 669, 沉沦 
308927, 7, 159, 1884499, 32.2, 8.1, 313, 在文明的束缚下 
308927, 7, 160, 1987259, 37.6, 8.3, 651, 看上去很美 
308927, 7, 161, 1023658, 49.3, 8.6, 3253, 许三观卖血记 
308927, 7, 162, 1061965, 31.2, 7.5, 516, 爱情的三部曲 
308927, 7, 163, 1955405, 45.9, 8.4, 2377, 家 
308927, 7, 164, 1951750, 39.0, 8.3, 835, 春 
308927, 7, 165, 1955404, 37.8, 8.5, 548, 秋 
308927, 7, 166, 1950876, 26.0, 8.3, 89, 巴赫曼作品集 
308927, 7, 167, 2189625, -5.5, 0.0, 9, 冯至传 
308927, 7, 168, 1058097, 41.3, 7.8, 2410, 岁月与性情 
308927, 7, 169, 2244146, 55.9, 8.2, 18261, 穆斯林的葬礼 
308927, 7, 170, 2264927, 28.5, 8.4, 126, 大学诗词写作教程 
308927, 7, 171, 2284574, 45.5, 8.3, 2568, 织田信长——菊与刀 
308927, 7, 172, 2117536, 26.2, 7.9, 127, 美国的智慧 
308927, 7, 173, 1485597, 47.8, 8.6, 2518, 傅雷家书 
308927, 7, 174, 1073349, 55.5, 8.8, 6694, 写在人生边上 人生边上的边上 石语 
308927, 7, 175, 1008003, 46.6, 8.6, 2085, 呐喊 
100487, 2, 26, 1191970, 21.4, 7.8, 57, 翻开 
100487, 2, 27, 1982116, 39.2, 8.4, 770, 我与兰登书屋 
100487, 2, 28, 1965306, 18.1, 8.0, 27, 流动的风景 
100487, 2, 29, 1778422, 30.1, 9.4, 79, 愛書人黃茉莉 
100487, 2, 30, 2076958, 16.3, 6.4, 66, 魅力与狂欢 
100487, 2, 31, 1050421, -4.5, 0.0, 6, 尘封的珍书异刊 
100487, 2, 32, 2126808, 14.2, 7.5, 17, 古本屋女主人 
100487, 2, 33, 1875180, 18.7, 7.2, 54, 東京閱讀空間 
100487, 2, 34, 1849893, 24.2, 7.5, 127, 我生命中的书 
100487, 2, 35, 1760730, 44.4, 8.3, 2120, 伍尔夫读书随笔 
100487, 2, 36, 1343009, 24.2, 8.3, 65, 蠹魚頭的舊書店地圖 
100487, 2, 37, 1320315, 28.1, 8.2, 139, 读书读书 
100487, 2, 38, 1319085, 12.1, 7.1, 14, 中国旧书业百年 
100487, 2, 39, 2136330, 27.2, 7.8, 168, 阅读的所在 
100487, 2, 40, 1227939, -4.9, 0.0, 7, 我与中国书店 
100487, 2, 41, 1368967, 24.7, 8.3, 71, 台灣書店地圖 
100487, 2, 42, 1019589, 21.1, 8.7, 30, 书林清话：附书林余话 
100487, 2, 43, 1314466, 15.6, 7.3, 26, 书报话旧 
100487, 2, 44, 1388191, 10.6, 7.1, 10, 書架 
100487, 2, 45, 1021184, 24.8, 7.4, 158, 书架的故事 
100487, 2, 46, 2159367, 12.7, 7.8, 11, 失書記 
100487, 2, 47, 1227889, 18.3, 7.3, 45, 书楼寻踪 
100487, 2, 48, 2236656, 12.9, 6.3, 30, 法兰克福书展600年风华 
100487, 2, 49, 1061248, 22.6, 7.1, 135, 读书毁了我 
100487, 2, 50, 1049143, -3.5, 0.0, 4, 书之趣 
1185931, 4, 76, 1949862, 17.0, 8.1, 21, 迷惘 
1185931, 4, 77, 6082808, 76.7, 9.2, 93487, 百年孤独 
1185931, 4, 78, 2046028, 17.7, 8.3, 21, 蝇王·金字塔 
1185931, 4, 79, 1484519, 19.2, 8.2, 29, 紫罗兰 
1185931, 4, 80, 1073162, 28.3, 8.5, 112, 弗兰德公路·农事诗 
1185931, 4, 81, 2046001, 17.2, 7.9, 24, 狮子和宝石 
1185931, 4, 82, 1419461, 28.6, 8.6, 109, 从彼得堡到斯德哥尔摩 
1185931, 4, 83, 2046002, 16.5, 8.0, 20, 街魂 
1185931, 4, 84, 2043865, 16.2, 8.0, 19, 为亡灵弹奏 
1185931, 4, 85, 1962134, 24.9, 8.6, 59, 太阳石 
1185931, 4, 86, 1963692, 17.6, 7.9, 26, 七月的人民 
1185931, 4, 87, 1434358, 29.4, 8.3, 159, 德瑞克·沃尔科特诗选 
1185931, 4, 88, 4145402, 32.2, 7.7, 487, 所罗门之歌 
1185931, 4, 89, 1976541, 27.2, 8.4, 101, 个人的体验 
1185931, 4, 90, 1042723, 36.9, 8.9, 319, 希尼诗文集 
1185931, 4, 91, 2284956, 24.5, 8.4, 64, 呼唤雪人 
1185931, 4, 92, 1499649, 26.7, 8.6, 79, 不付钱！不付钱！ 
1185931, 4, 93, 1088714, 34.4, 8.5, 307, 修道院纪事 
1185931, 4, 94, 1849791, 48.8, 8.5, 3390, 铁皮鼓 
1185931, 4, 95, 2054553, 28.8, 8.1, 170, 高行健戏剧集 
1185931, 4, 96, 1083480, 36.6, 8.3, 546, 河湾 
1185931, 4, 97, 4711072, 29.8, 8.3, 169, 无命运的人生 
1185931, 4, 98, 1077638, 42.0, 8.0, 2081, 耻 
1185931, 4, 99, 1069168, 37.7, 7.4, 2205, 钢琴教师 
1185931, 4, 100, 4729479, 34.0, 8.3, 352, 送菜升降机 
919697, 2, 26, 1487277, 15.4, 8.2, 15, 如何参加特种部队 
919697, 2, 27, 3718972, 27.6, 9.0, 70, 青年人怎样生活才有意思 
919697, 2, 28, 1436218, 29.5, 9.3, 77, 如何在网上聊天 
919697, 2, 29, 3878668, 32.8, 9.5, 108, 怎么抓特务 
919697, 2, 30, 3540706, 15.6, 7.3, 26, 人体特异功能的实验研究与诱发训练 
919697, 2, 31, 3133193, 17.9, 8.0, 26, 易筋经与洗髓经 
919697, 2, 32, 2217788, 45.4, 9.5, 652, 三鹿人成功之路 
919697, 2, 33, 3172313, 18.3, 8.0, 28, 穴位点打拳术 
919697, 2, 34, 2326900, 28.9, 9.4, 66, 九阴真经 
919697, 2, 35, 1486726, 19.6, 6.2, 199, 怎样打孩子？ 
919697, 2, 36, 1929825, 45.4, 9.3, 797, 农民进城防骗手册 
919697, 2, 37, 3451594, 26.1, 8.1, 105, 我们怎样保卫毛主席 
